NO,시장명,소재지도로명주소,위도,경도,시/도,시/군/구
1,황금시장,대구광역시 수성구 청솔로 19,35.8484298,128.6199743,대구광역시 ,수성구
2,태백시장,대구광역시 수성구 들안로 281 일원,35.8551053,128.6167525,대구광역시 ,수성구
3,청구시장,대구광역시 수성구 만촌로 66,35.8650076,128.6443364,대구광역시 ,수성구
4,지산목련시장,대구광역시 수성구 용학로42길 9,35.8208811,128.6318969,대구광역시 ,수성구
5,신매시장,대구광역시 수성구 신매로 104,35.8386805,128.7093949,대구광역시 ,수성구
6,수성현대시장,대구광역시 수성구 신천동로 280,35.8495114,128.6094124,대구광역시 ,수성구
7,수성시장,대구광역시 수성구 들안로 283일원,35.8553513,128.6167754,대구광역시 ,수성구
8,동성시장,대구광역시 수성구 들안로 287,35.8557843,128.6170511,대구광역시 ,수성구
9,황지자유시장,강원도 태백시 시장안 1길 18-1,37.1734258,128.9909308,강원도 ,태백시
10,장성중앙시장,강원도 태백시 장성 1길 190,37.1005738,129.0076814,강원도 ,태백시
11,오산오색시장,경기도 오산시 오산로 272번길 22,37.15093202,127.070852,경기도 ,오산시
12,덕하시장,울산광역시 울주군 청량읍 상남리 578,35.49144017,129.3059962,울산광역시 ,울주군
13,남창옹기종기시장,울산광역시 울주군 온양읍 남창장터길 24,35.41669017,129.2827773,울산광역시 ,울주군
14,인헌시장,서울특별시 관악구 인헌6길 16,37.47409903,126.966008,서울특별시 ,관악구
15,조원동 펭귄시장,서울특별시 관악구 남부순환로143나길 7,37.48286066,126.9110233,서울특별시 ,관악구
16,관악신사시장,서울특별시 관악구 난곡로74길 58,37.48630323,126.9169667,서울특별시 ,관악구
17,신원시장,서울특별시 관악구 신원로3길 20-3,37.48206454,126.9273776,서울특별시 ,관악구
18,관악종합시장,서울특별시 관악구 신원로 23,37.48157841,126.928061,서울특별시 ,관악구
19,우림시장,서울특별시 관악구 난곡로26길 4,37.47029649,126.9204436,서울특별시 ,관악구
20,신신림시장,서울특별시 관악구 원신2길 34,37.47066059,126.9321456,서울특별시 ,관악구
21,신림종합시장,서울특별시 관악구 남부순환로157길 63,37.48464547,126.9170951,서울특별시 ,관악구
22,원당종합시장,서울특별시 관악구 남부순환로248길 35,37.47441615,126.9659083,서울특별시 ,관악구
23,봉천중앙시장,서울특별시 관악구 관악로 211,37.4841972,126.9543259,서울특별시 ,관악구
24,봉천제일종합시장,서울특별시 관악구 청룡2길 29,37.48124846,126.9444145,서울특별시 ,관악구
25,봉천현대시장,서울특별시 관악구 양녕로 49,37.4862123,126.9467672,서울특별시 ,관악구
26,봉일시장,서울특별시 관악구 은천로 28,37.4859235,126.9383822,서울특별시 ,관악구
27,박달재,충청북도 제천시 백운면 평동로2길 13,37.13839195,128.0231197,충청북도 ,제천시
28,덕산,충청북도 제천시 덕산면 약초로3안길5-1,36.90858287,128.1670935,충청북도 ,제천시
29,역전,충청북도 제천시 내토로28길 12,37.12898386,128.2064473,충청북도 ,제천시
30,약초,충청북도 제천시 원화산로 121,37.12789068,128.2195911,충청북도 ,제천시
31,동문,충청북도 제천시 용두천로 125,37.13851272,128.2135268,충청북도 ,제천시
32,내토,충청북도 제천시 용두천로11길 5,37.13735285,128.2124098,충청북도 ,제천시
33,중앙,충청북도 제천시 풍양로 108,37.13662897,128.2112999,충청북도 ,제천시
34,신창상가,부산광역시 중구 중구로 34번길 21,35.10117505,129.0301116,부산광역시 ,중구
35,부산자갈밭시장,부산광역시 중구 자갈치해안로 62,35.096863,129.0318618,부산광역시 ,중구
36,아리랑거리,부산광역시 중구 광복로 35번길 13,35.10059961,129.028742,부산광역시 ,중구
37,부평깡통시장,부산광역시 중구 중구로 39번길 32,35.1014853,129.02622,부산광역시 ,중구
38,만물의거리,부산광역시 중구 국제시장 2길 16-1,35.10069601,129.0285821,부산광역시 ,중구
39,새영주시장,부산광역시 중구 초량중로 6번길 5,35.11269824,129.036403,부산광역시 ,중구
40,건어물시장,부산광역시 중구 용미길 10번길 1,35.0968274,129.0348829,부산광역시 ,중구
41,강남시장,서울특별시 동작구 상도로 357 아파트,37.4968806,126.9535395,서울특별시 ,동작구
42,사당시장,서울특별시 동작구 사당로 244 사당시장,37.48297,126.9749,서울특별시 ,동작구
43,영도시장,서울특별시 동작구 장승배기로10길 26,37.5040325,126.9404275,서울특별시 ,동작구
44,송북시장,경기도 평택시 탄현로346번길 24,37.08210536,127.057097,경기도 ,평택시
45,안중시장,경기도 평택시 안중읍 안현로서3길 29,36.98753476,126.928291,경기도 ,평택시
46,서정시장,경기도 평택시 서정역로 47번길 20,37.05725479,127.054925,경기도 ,평택시
47,중앙시장,경기도 평택시 중앙시장로 18-4,37.079828,127.052358,경기도 ,평택시
48,통복시장,경기도 평택시 통복시장로 25번길 10,36.99781993,127.085074,경기도 ,평택시
49,영광터미널시장,전라남도 영광군 영광읍 신남로3길 5-3,35.269479,126.517362,전라남도 ,영광군
50,굴비골영광시장,전라남도 영광군 영광읍 중앙로3길 5-22,35.275128,126.512324,전라남도 ,영광군
51,안면도수산시장,충청남도 태안군 안면읍 장터로 104,36.51635582,126.346007,충청남도 ,태안군
52,서부시장,충청남도 태안군 태안읍 시장2길 32-7,36.752927,126.2968099,충청남도 ,태안군
53,특산물전통시장,충청남도 태안군 태안읍 시장4길 18,36.751301,126.2984694,충청남도 ,태안군
54,사기막골도자기시장,경기도 이천시 경충대로 2993번길 37,37.2943056,127.4122722,경기도 ,이천시
55,관고전통시장,경기도 이천시 중리천로31번길 22,37.2808331,127.4403481,경기도 ,이천시
56,장호원전통시장,경기도 이천시 장호원읍 서동대로8965번길 36,37.1146803,127.6310291,경기도 ,이천시
57,풍납시장,서울특별시 송파구 바람드리길 50,37.5371358,127.1211267,서울특별시 ,송파구
58,석촌시장,서울특별시 송파구 송파대로37길 40,37.5005161,127.1077877,서울특별시 ,송파구
59,새마을시장,서울특별시 송파구 석촌호수로12길 14,37.5091351,127.08491,서울특별시 ,송파구
60,방이시장,서울특별시 송파구 백제고분로48길 41,37.5103117,127.1175355,서울특별시 ,송파구
61,마천중앙시장,서울특별시 송파구 마천로51가길 23,37.4983797,127.1513213,서울특별시 ,송파구
62,마천시장,서울특별시 송파구 마천로45길 23,37.49807914,127.1506948,서울특별시 ,송파구
63,덕신2차시장,울산광역시 울주군 온산읍 신온7길 69,35.42934943,129.3100244,울산광역시 ,울주군
64,덕신1차시장,울산광역시 울주군 온산읍 온덕1길 25,35.43524242,129.309349,울산광역시 ,울주군
65,언양종합상가시장,울산광역시 울주군 언양읍 장터1길 22,35.56349664,129.1259559,울산광역시 ,울주군
66,언양공설시장,울산광역시 울주군 언양읍 남천로 20,35.56301736,129.1253819,울산광역시 ,울주군
67,언양시장,울산광역시 울주군 언양읍 장터1길 19,35.56394169,129.1256947,울산광역시 ,울주군
68,봉계시장,울산광역시 울주군 두동면 계명3길 9,35.7133828,129.1991746,울산광역시 ,울주군
69,곡천시장,울산광역시 울주군 웅촌면 곡천동문길 20-22,35.4656193,129.2097081,울산광역시 ,울주군
70,진도상설시장,전라남도 진도군 진도읍 남동1길 25,34.4815926,126.2609754,전라남도 ,진도군
71,진상 5일시장,전라남도 광양시 진상면 학연로 1-4,35.0183658,127.7195637,전라남도 ,광양시
72,옥곡 5일시장,전라남도 광양시 옥곡면 큰골 1길 2-26,34.98850456,127.7002409,전라남도 ,광양시
73,광양 5일시장,전라남도 광양시 광양읍 백운로 3,34.97116168,127.5904551,전라남도 ,광양시
74,광영상설시장,전라남도 광양시 광영시장길 19(광영동),34.961413,127.7206559,전라남도 ,광양시
75,중마시장,전라남도 광양시 중동 1732-3,34.93790554,127.6991427,전라남도 ,광양시
76,광양상설시장,전라남도 광양시 광양읍 매일시장길 20,34.97639767,127.585089,전라남도 ,광양시
77,독산동맛나는거리상점가,서울특별시 금천구 시흥대로122길 7,37.469519,126.898694,서울특별시 ,금천구
78,은행나무시장,서울특별시 금천구 금하로 25길 9,37.451292,126.909334,서울특별시 ,금천구
79,독산동우시장,서울특별시 금천구 범안로 1209,37.4667856,126.896285,서울특별시 ,금천구
80,대명여울빛거리시장,서울특별시 금천구 시흥대로52길 70,37.4542843,126.901877,서울특별시 ,금천구
81,현대시장,서울특별시 금천구 독산로27길 52,37.457692,126.904785,서울특별시 ,금천구
82,남문시장,서울특별시 금천구 시흥대로 144길 17,37.473742,126.900413,서울특별시 ,금천구
83,도계중앙시장,강원도 삼척시 도계읍 도계로4길 20,37.2351435,129.0451082,강원도 ,삼척시
84,도계전두시장,강원도 삼척시 도계읍 전두시장길 20,37.2286622,129.0424191,강원도 ,삼척시
85,삼척번개시장,강원도 삼척시 중앙로 10-1,37.43077597,129.1785545,강원도 ,삼척시
86,삼척중앙시장,강원도 삼척시 진주로 12-21,37.44210168,129.16466,강원도 ,삼척시
87,본동인정시장,서울특별시 동작구 매봉로 177,37.5121819,126.9518871,서울특별시 ,동작구
88,성대시장,서울특별시 동작구 상도로 102 성대시장,37.4999142,126.9317661,서울특별시 ,동작구
89,목동깨비시장,서울특별시 양천구 목동중앙북로6길 5 (목동),37.548126,126.8651804,서울특별시 ,양천구
90,목2동시장,서울특별시 양천구 목동중앙북로16길 3 (목동),37.545917,126.873898,서울특별시 ,양천구
91,정선아리랑시장,강원도 정선군 정선읍 봉양7길 39,37.380627,128.665133,강원도 ,정선군
92,임계사통팔달시장,강원도 정선군 임계면 송계3길 21,37.47372961,128.8578064,강원도 ,정선군
93,고한 구공탄시장,강원도 정선군 고한읍 고한4길 46,37.20123827,128.8544153,강원도 ,정선군
