No,순번,시도,시군구,은행명,지점명,연락처,주소,경도,위도,상태
1,1,경남,창원시,경남은행,마산자유무역,055-255-2651,경남 창원시 마산회원구 자유무역1길 24,128.5887231,35.2120014,정좌표
5,5,경남,창원시,경남은행,창원영업부,055-281-6111,경남 창원시 성산구 중앙대로 23,128.6745764,35.21811451,정좌표
6,6,경남,창원시,경남은행,양덕동,055-251-7421,경남 창원시 마산회원구 양덕로 135,128.5840068,35.23057385,정좌표
7,7,경남,창원시,경남은행,산호동,055-241-2391,경남 창원시 마산합포구 합포로 215,128.5869952,35.21641702,정좌표
8,8,경남,창원시,경남은행,회원동,055-248-5341,경남 창원시 마산회원구 북성로 115,128.570333,35.21754036,정좌표
10,10,서울,중구,경남은행,서울,02-3455-1900,"서울 중구 서소문로 95, 1층",126.9717997,37.56282349,정좌표
11,11,부산,동구,경남은행,부산영업부,051-246-9331,"부산 동구 조방로 27, 1층",129.0614247,35.13926899,정좌표
12,12,경남,진주시,경남은행,진주중앙지점,055-746-9368,"경남 진주시 진주대로 1042, 진주중앙지점",128.0850229,35.1925779,정좌표
13,13,울산,중구,경남은행,성남동,052-246-0850,울산 중구 학성로 97,129.3215568,35.55549921,정좌표
14,14,경남,창원시,경남은행,진해,055-546-5661,경남 창원시 진해구 충장로 124,128.6655235,35.15181778,정좌표
15,15,경남,통영시,경남은행,통영,055-645-3191,경남 통영시 무전대로 33 1층,128.4244029,34.86048122,정좌표
16,16,경남,사천시,경남은행,삼천포,055-833-3541,경남 사천시 중앙로 85,128.0765741,34.9337878,정좌표
17,17,경남,고성군,경남은행,고성,055-673-4601,"경남 고성군 고성읍 동외로 149,  고성지점",128.3256696,34.97461954,정좌표
18,18,경남,진주시,경남은행,남진주,055-753-8891,"경남 진주시 진주대로 884, 교보생명 1층",128.091182,35.1794508,정좌표
19,19,경남,진주시,경남은행,서진주,055-742-9221,경남 진주시 진주성로 62,128.0771055,35.19522406,정좌표
20,20,경남,진주시,경남은행,동진주,055-752-8122,경남 진주시 동진로 154,128.107906,35.17930607,정좌표
21,21,울산,중구,경남은행,옥교,052-293-2151,울산 중구 구교로 51,129.3299708,35.55547318,정좌표
22,22,경남,거창군,경남은행,거창,055-944-4591,경남 거창군 거창읍 거열로 116,127.9065101,35.68860668,정좌표
23,23,경남,밀양시,경남은행,밀양,055-355-2311,"경남 밀양시 밀양대로 1757, 1층 화랑예식장",128.7528199,35.4823973,정좌표
24,24,경남,창원시,경남은행,롯데백화점마산,055-240-6970,"경남 창원시 마산합포구 동서동로 18, 1층",128.5732264,35.20176167,정좌표
25,25,울산,중구,경남은행,우정동,052-246-0750,울산 중구 명륜로 33,129.3090752,35.55542683,정좌표
26,26,울산,남구,경남은행,공업탑,052-273-1921,울산 남구 삼산로 34,129.311562,35.53295419,정좌표
27,27,울산,중구,경남은행,병영,052-292-5151,"울산 중구 번영로 574, 1층",129.3448311,35.56841435,정좌표
29,29,울산,남구,경남은행,야음동,052-274-4215,"울산 남구 수암로 250,  32",129.3324466,35.52337552,정좌표
30,30,울산,동구,경남은행,전하동,052-232-2985,울산 동구 방어진순환도로 739,129.4298019,35.5078136,정좌표
31,31,울산,동구,경남은행,남목,052-232-2981,울산 동구 방어진순환도로 1145,129.4237744,35.53924485,정좌표
32,32,경남,창원시,경남은행,반송동,055-283-1938,경남 창원시 성산구 원이대로473번길 26,128.6708789,35.23577978,정좌표
33,33,경남,양산시,경남은행,양산,055-384-9911,경남 양산시 삼일로 102,129.0386191,35.34379196,정좌표
34,34,울산,남구,경남은행,울산영업부,052-210-6200,울산 남구 중앙로 202,129.3128669,35.53892966,정좌표
35,35,울산,중구,경남은행,학성,052-293-8690,울산 중구 화합로 362,129.3418029,35.55874241,정좌표
36,36,경남,거제시,경남은행,옥포,055-687-0151,경남 거제시 옥포대첩로 39,128.6919088,34.89406455,정좌표
37,37,경남,창원시,경남은행,명곡,055-288-2151,경남 창원시 의창구 원이대로 265,128.6493403,35.24353528,정좌표
38,38,서울,영등포구,경남은행,여의도,02-785-1271,"서울 영등포구 여의대방로65길 20, 3층",126.9295102,37.52022051,정좌표
39,39,경남,창원시,경남은행,가음정,055-285-7231,경남 창원시 성산구 대정로 36,128.6989222,35.20753503,정좌표
40,40,경남,창원시,경남은행,남마산,055-245-5111,"경남 창원시 마산합포구 해안대로 7, 201호",128.5597528,35.18079044,정좌표
41,41,경남,창녕군,경남은행,창녕,055-532-0750,"경남 창녕군 창녕읍 군청길 18, 1층",128.4920612,35.54253242,정좌표
42,42,경남,창원시,경남은행,소계동,055-292-0362,경남 창원시 의창구 소계로84번길 3,128.5997353,35.25706342,정좌표
43,43,경남,창원시,경남은행,월영마을,055-248-8838,"경남 창원시 마산합포구 월영남로 42, 제상가동 101호",128.5585625,35.17485779,정좌표
