No,순번,시도,시군구,은행명,지점명,연락처,주소,경도,위도,상태
1,1,경남,창원시,경남은행,마산자유무역,055-255-2651,경남 창원시 마산회원구 자유무역1길 24,128.588723077959,35.21200140096,정좌표
5,5,경남,창원시,경남은행,창원영업부,055-281-6111,경남 창원시 성산구 중앙대로 23,128.674576428625,35.2181145088608,정좌표
6,6,경남,창원시,경남은행,양덕동,055-251-7421,경남 창원시 마산회원구 양덕로 135,128.584006797344,35.2305738499467,정좌표
7,7,경남,창원시,경남은행,산호동,055-241-2391,경남 창원시 마산합포구 합포로 215,128.586995217851,35.2164170155808,정좌표
8,8,경남,창원시,경남은행,회원동,055-248-5341,경남 창원시 마산회원구 북성로 115,128.570333043454,35.2175403568441,정좌표
10,10,서울,중구,경남은행,서울,02-3455-1900,"서울 중구 서소문로 95, 1층",126.971799742713,37.5628234909552,정좌표
11,11,부산,동구,경남은행,부산영업부,051-246-9331,"부산 동구 조방로 27, 1층",129.061424748181,35.1392689929729,정좌표
12,12,경남,진주시,경남은행,진주중앙지점,055-746-9368,"경남 진주시 진주대로 1042, 진주중앙지점",128.08502294775,35.1925779014262,정좌표
13,13,울산,중구,경남은행,성남동,052-246-0850,울산 중구 학성로 97,129.3215567757,35.5554992138528,정좌표
14,14,경남,창원시,경남은행,진해,055-546-5661,경남 창원시 진해구 충장로 124,128.665523461499,35.1518177830134,정좌표
15,15,경남,통영시,경남은행,통영,055-645-3191,경남 통영시 무전대로 33 1층,128.424402858147,34.8604812210147,정좌표
16,16,경남,사천시,경남은행,삼천포,055-833-3541,경남 사천시 중앙로 85,128.076574148443,34.9337878007639,정좌표
17,17,경남,고성군,경남은행,고성,055-673-4601,"경남 고성군 고성읍 동외로 149,  고성지점",128.325669642173,34.9746195361939,정좌표
18,18,경남,진주시,경남은행,남진주,055-753-8891,"경남 진주시 진주대로 884, 교보생명 1층",128.091182002101,35.179450796172,정좌표
19,19,경남,진주시,경남은행,서진주,055-742-9221,경남 진주시 진주성로 62,128.077105496131,35.195224057204,정좌표
20,20,경남,진주시,경남은행,동진주,055-752-8122,경남 진주시 동진로 154,128.107906004007,35.1793060662555,정좌표
21,21,울산,중구,경남은행,옥교,052-293-2151,울산 중구 구교로 51,129.329970813754,35.5554731849067,정좌표
22,22,경남,거창군,경남은행,거창,055-944-4591,경남 거창군 거창읍 거열로 116,127.906510108616,35.6886066757432,정좌표
23,23,경남,밀양시,경남은행,밀양,055-355-2311,"경남 밀양시 밀양대로 1757, 1층 화랑예식장",128.752819863218,35.4823973032203,정좌표
24,24,경남,창원시,경남은행,롯데백화점마산,055-240-6970,"경남 창원시 마산합포구 동서동로 18, 1층",128.573226398355,35.2017616674131,정좌표
25,25,울산,중구,경남은행,우정동,052-246-0750,울산 중구 명륜로 33,129.309075217161,35.5554268346144,정좌표
26,26,울산,남구,경남은행,공업탑,052-273-1921,울산 남구 삼산로 34,129.311562010915,35.5329541883575,정좌표
27,27,울산,중구,경남은행,병영,052-292-5151,"울산 중구 번영로 574, 1층",129.344831059238,35.5684143514087,정좌표
29,29,울산,남구,경남은행,야음동,052-274-4215,"울산 남구 수암로 250,  32",129.332446589011,35.5233755224861,정좌표
30,30,울산,동구,경남은행,전하동,052-232-2985,울산 동구 방어진순환도로 739,129.429801857567,35.5078135986204,정좌표
31,31,울산,동구,경남은행,남목,052-232-2981,울산 동구 방어진순환도로 1145,129.423774425279,35.5392448498647,정좌표
32,32,경남,창원시,경남은행,반송동,055-283-1938,경남 창원시 성산구 원이대로473번길 26,128.670878894617,35.235779779213,정좌표
33,33,경남,양산시,경남은행,양산,055-384-9911,경남 양산시 삼일로 102,129.038619098512,35.343791955521,정좌표
34,34,울산,남구,경남은행,울산영업부,052-210-6200,울산 남구 중앙로 202,129.3128668771,35.5389296599601,정좌표
35,35,울산,중구,경남은행,학성,052-293-8690,울산 중구 화합로 362,129.341802912725,35.5587424112248,정좌표
36,36,경남,거제시,경남은행,옥포,055-687-0151,경남 거제시 옥포대첩로 39,128.691908847594,34.894064547121,정좌표
